wavelength_nm	spectrum_W_m2
395.0	0.4217548
395.5	0.41004407
396.0	0.35634175
396.5	0.21876
397.0	0.16626664
397.5	0.33676192
398.0	0.44235954
398.5	0.44659996
399.0	0.52093613
399.5	0.51825696
400.0	0.50494885
401.0	0.5236774
402.0	0.58055425
403.0	0.5730909
404.0	0.54190755
405.0	0.5250233
406.0	0.5443498
407.0	0.56482977
408.0	0.5345173
409.0	0.56483513
410.0	0.4972581
411.0	0.5469956
412.0	0.6221755
413.0	0.54549396
414.0	0.56987834
415.0	0.5944748
416.0	0.64559335
417.0	0.6158423
418.0	0.5887911
419.0	0.5933898
420.0	0.57591224
421.0	0.6085556
422.0	0.5729378
423.0	0.5669496
424.0	0.58271176
425.0	0.6026204
426.0	0.6404329
427.0	0.6046606
428.0	0.55518657
429.0	0.5699607
430.0	0.50397325
431.0	0.45655733
432.0	0.63621444
433.0	0.64520246
434.0	0.5672106
435.0	0.55040437
436.0	0.6619007
437.0	0.70945716
438.0	0.67614686
439.0	0.5841536
440.0	0.6406829
441.0	0.7402568
442.0	0.81890106
443.0	0.76995087
444.0	0.7516054
445.0	0.670972
446.0	0.71013635
447.0	0.7864338
448.0	0.67224437
449.0	0.773287
450.0	0.8361146
451.0	0.85603845
452.0	0.8180678
453.0	0.7686685
454.0	0.84175754
455.0	0.8153
456.0	0.85553896
457.0	0.88563657
458.0	0.79214764
459.0	0.832126
460.0	0.8136581
461.0	0.83835405
462.0	0.8877316
463.0	0.7913318
464.0	0.8169373
465.0	0.8602249
466.0	0.9107364
467.0	0.8198019
468.0	0.8478064
469.0	0.88955265
470.0	0.8680721
471.0	0.8732496
472.0	0.90478784
473.0	0.8879144
474.0	0.80842435
475.0	0.8331612
476.0	0.8685537
477.0	0.8923326
478.0	0.92055947
479.0	0.8940496
480.0	0.87232214
481.0	0.9114424
482.0	0.94554853
483.0	0.97414607
484.0	0.9538172
485.0	0.8942792
486.0	0.7784056
487.0	0.8296239
488.0	0.8617562
489.0	0.80735654
490.0	0.91069585
491.0	0.95170635
492.0	0.8939373
493.0	0.91209966
494.0	0.8916191
495.0	0.893005
496.0	0.9011217
497.0	0.9438203
498.0	0.9452868
499.0	0.98078847
500.0	0.96350217
501.0	0.9322431
502.0	0.8948063
503.0	0.9072004
504.0	0.8921402
505.0	0.884312
506.0	0.9665067
507.0	0.93442416
508.0	0.9092145
509.0	0.9066298
510.0	0.88771623
511.0	0.925274
512.0	0.9432533
513.0	0.9080049
514.0	0.9240523
515.0	0.9274969
516.0	0.92945623
517.0	0.8366633
518.0	0.86175555
519.0	0.8879958
520.0	0.9231999
521.0	0.9512506
522.0	0.960585
523.0	0.93927234
524.0	0.971775
525.0	0.93851465
526.0	0.9008659
527.0	0.8686706
528.0	0.92320645
529.0	0.9908137
530.0	0.9774734
531.0	0.99331933
532.0	0.9541732
533.0	0.93025714
534.0	0.9767928
535.0	1.0181451
536.0	1.0328846
537.0	0.9959129
538.0	0.996542
539.0	0.9763455
540.0	0.9577774
541.0	0.96845645
542.0	0.96604264
543.0	0.9506088
544.0	0.9796689
545.0	0.9651092
546.0	0.98755836
547.0	0.9902803
548.0	0.9663061
549.0	0.9692236
550.0	0.9979493
551.0	0.9983585
552.0	1.0032996
553.0	0.974549
554.0	1.0093908
555.0	1.02625
556.0	1.0226483
557.0	0.989396
558.0	0.9815003
559.0	0.972024
560.0	0.9835396
561.0	0.99137485
562.0	0.98051107
563.0	0.99434817
564.0	0.9501874
565.0	0.949541
566.0	0.96275306
567.0	0.98599386
568.0	0.9641248
569.0	0.94760466
570.0	0.943696
571.0	0.925153
572.0	0.9528056
573.0	0.9801427
574.0	0.98929095
575.0	0.9773586
576.0	0.97699183
577.0	0.98906624
578.0	0.9693648
579.0	0.9605834
580.0	0.9792052
581.0	0.9924994
582.0	1.0145608
583.0	1.0159457
584.0	1.0207752
585.0	0.983374
586.0	0.9642545
587.0	0.98855114
588.0	0.96924055
589.0	0.85543865
590.0	0.88623035
591.0	0.9373877
592.0	0.91664505
593.0	0.933853
594.0	0.9443599
595.0	0.93008006
596.0	0.9694759
597.0	0.9590738
598.0	0.9557771
599.0	0.95410913
600.0	0.9513291
601.0	0.94491875
602.0	0.94285935
603.0	0.96733224
604.0	0.9888881
605.0	0.98396635
606.0	0.98083264
607.0	0.9909804
608.0	0.9792048
609.0	0.9820247
610.0	0.97416806
611.0	0.97437435
612.0	0.9600215
613.0	0.94770056
614.0	0.9419412
615.0	0.9668199
616.0	0.9306814
617.0	0.92563117
618.0	0.9678362
619.0	0.9630714
620.0	0.9643264
621.0	0.9638655
622.0	0.95319575
623.0	0.93190557
624.0	0.9188843
625.0	0.9229534
626.0	0.93996376
627.0	0.9530155
628.0	0.9087787
629.0	0.9392331
630.0	0.9223369
631.0	0.9381281
632.0	0.92492217
633.0	0.954505
634.0	0.9431089
635.0	0.9582385
636.0	0.9436453
637.0	0.9578171
638.0	0.96643543
639.0	0.95672333
640.0	0.94673926
641.0	0.9457201
642.0	0.9389377
643.0	0.95030373
644.0	0.95055836
645.0	0.9521964
646.0	0.92705554
647.0	0.91226226
648.0	0.9158967
649.0	0.90460324
650.0	0.9086652
651.0	0.9476189
652.0	0.90794104
653.0	0.9372792
654.0	0.92780167
655.0	0.89240557
656.0	0.7903508
657.0	0.81195974
658.0	0.9099809
659.0	0.9146933
660.0	0.91473114
661.0	0.91596407
662.0	0.9145783
663.0	0.9002028
664.0	0.9164165
665.0	0.9191954
666.0	0.9225281
667.0	0.9234053
668.0	0.9237922
669.0	0.9386287
670.0	0.9343436
671.0	0.9358762
672.0	0.9276939
673.0	0.9408
674.0	0.9377665
675.0	0.92985535
676.0	0.9362784
677.0	0.92699844
678.0	0.9310457
679.0	0.91635334
680.0	0.9239002
681.0	0.9189253
682.0	0.9190555
683.0	0.9174636
684.0	0.91356826
685.0	0.92154485
686.0	0.91630924
687.0	0.6900575
688.0	0.7700577
689.0	0.7717956
690.0	0.79684985
691.0	0.82374567
692.0	0.8394896
693.0	0.8241503
694.0	0.81138384
695.0	0.84221035
696.0	0.8431717
697.0	0.89506257
698.0	0.88161194
699.0	0.8607816
700.0	0.8501015
701.0	0.8420364
702.0	0.84838456
703.0	0.85030156
704.0	0.87763804
705.0	0.87767845
706.0	0.8783759
707.0	0.8785846
708.0	0.8822391
709.0	0.8851558
710.0	0.88514227
711.0	0.88429797
712.0	0.88243586
713.0	0.8744258
714.0	0.87854844
715.0	0.85129863
716.0	0.85190237
717.0	0.73961836
718.0	0.67556816
719.0	0.622893
720.0	0.65365475
721.0	0.72292453
722.0	0.8265974
723.0	0.7692713
724.0	0.69346374
725.0	0.6805493
726.0	0.7141623
727.0	0.7247274
728.0	0.68136305
729.0	0.7073605
730.0	0.74846053
731.0	0.7160646
732.0	0.766664
733.0	0.81222373
734.0	0.83163977
735.0	0.8144437
736.0	0.8137616
737.0	0.8172062
738.0	0.8292266
739.0	0.8127938
740.0	0.83484066
741.0	0.8270001
742.0	0.8281511
743.0	0.84917235
744.0	0.8467451
745.0	0.84666526
746.0	0.85038865
747.0	0.85302603
748.0	0.85185045
749.0	0.84224343
750.0	0.8416886
751.0	0.8330647
752.0	0.83664423
753.0	0.84093565
754.0	0.8428102
755.0	0.83815736
756.0	0.83791083
757.0	0.83932036
758.0	0.8292406
759.0	0.81673765
760.0	0.23212086
761.0	0.1477646
762.0	0.5058656
763.0	0.31207427
764.0	0.41491565
765.0	0.50587827
766.0	0.57735556
767.0	0.68705285
768.0	0.7611454
769.0	0.77008367
770.0	0.7883999
771.0	0.79118335
772.0	0.79160124
773.0	0.7966744
774.0	0.79238534
775.0	0.78597915
776.0	0.7952296
777.0	0.78447473
778.0	0.7795098
779.0	0.77997154
780.0	0.77538013
781.0	0.7758929
782.0	0.7803956
783.0	0.76645875
784.0	0.7698066
785.0	0.76356274
786.0	0.7715984
787.0	0.75782996
788.0	0.7478961
789.0	0.74635816
790.0	0.7267046
791.0	0.7324305
792.0	0.72713095
793.0	0.7151643
794.0	0.72781783
795.0	0.7397397
796.0	0.71646607
797.0	0.7170717
798.0	0.73774624
799.0	0.7327139
800.0	0.719456
801.0	0.7173058
802.0	0.7149589
803.0	0.7092037
804.0	0.7099375
805.0	0.7075647
806.0	0.7268662
807.0	0.7178882
808.0	0.71837294
809.0	0.70470834
810.0	0.6973577
811.0	0.69904995
812.0	0.67850125
813.0	0.6639756
814.0	0.58334297
815.0	0.5794494
816.0	0.5378365
817.0	0.54897267
818.0	0.5288273
